Mauritius,1272698
Malawi,19342867
Malaysia,32546893
Namibia,2560875
Niger,24580115
Nigeria,208342516
Nicaragua,6658958
Netherlands,17151563
Norway,5421241
Nepal,29364264
New Zealand,4839388
Oman,5162588
Pakistan,222751400
Panama,4344310
Peru,33171970
Philippines,110216905
Papua New Guinea,9020516
Poland,37828537
Puerto Rico,2827337
Portugal,10183564
Paraguay,7170769
Palestine,5152623
Qatar,2902192
Kosovo,1811388
Romania,19180782
Russia,145962052
Rwanda,13090653
Saudi Arabia,35049731
Sudan,44291320
Senegal,16933881
Singapore,5870500
Solomon Islands,694149
Sierra Leone,8047232
El Salvador,6500579
San Marino,33962
Somalia,16083815
Serbia,8721797
South Sudan,11251021
Suriname,588933
Slovak Republic,5460808
Slovenia,2079064
Sweden,10125863
Eswatini,1165415
Seychelles,98614
Syria,17684051
Chad,16628301
Tonga,106235
Togo,8362495
Thailand,69877067
Tajikistan,9630222
Turkmenistan,6069798
Timor-Leste,1329333
Trinidad and Tobago,1401481
Tunisia,11872672
Turkey,84735628
Taiwan,23835759
Tanzania,60465128
Uganda,46359623
Ukraine,43167310
Uruguay,3479024
United States*Alaska,731545
United States*Alabama,4903185
United States*Arkansas,3017804
United States*Arizona,7278717
United States*California,39512223
United States*Colorado,5758736
United States*Connecticut,3565287
United States*Washington DC,705749
United States*Delaware,973764
United States*Florida,21477737
United States*Georgia,10617423
United States*Hawaii,1415872
United States*Iowa,3155070
United States*Idaho,1787065
United States*Illinois,12671821
United States*Indiana,6732219
United States*Kansas,2913314
United States*Kentucky,4467673
United States*Louisiana,4648794
United States*Massachusetts,6892503
United States*Maryland,6045680
United States*Maine,1344212
United States*Michigan,9986857
United States*Minnesota,5639632
United States*Missouri,6137428
United States*Mississippi,2976149
United States*Montana,1068778
United States*North Carolina,10488084
United States*North Dakota,762062
United States*Nebraska,1934408
United States*New Hampshire,1359711
United States*New Jersey,8882190
United States*New Mexico,2096829
United States*Nevada,3080156
United States*New York,19453561
United States*Ohio,11689100
United States*Oklahoma,3956971
United States*Oregon,4217737
United States*Pennsylvania,12801989
United States*Rhode Island,1059361
United States*South Carolina,5148714
United States*South Dakota,884659
United States*Tennessee,6829174
United States*Texas,28995881
United States*Utah,3205958
United States*Virginia,8535519
United States*Virgin Islands,106235
United States*Vermont,623989
United States*Washington,7614893
United States*Wisconsin,5822434
United States*West Virginia,1792147
United States*Wyoming,578759
Uzbekistan,33680430
Venezuela,28400321
United States Virgin Islands,104357
Vietnam,97721890
Vanuatu,310244
Yemen,30109966
South Africa,59634888
Zambia,18605236
Zimbabwe,14957137
